Date Time,Site Name,Value,Averaging Period,Units,California State Standard,National Ambient Air Quality Standard by U.S. EPA,
8/13/2019 4:00:00 AM,Northwest Coastal L.A. County,2.6,1-hr,pphm,9,N/A,
8/13/2019 5:00:00 AM,Northwest Coastal L.A. County,2.2,1-hr,pphm,9,N/A,
8/13/2019 6:00:00 AM,Northwest Coastal L.A. County,1.9,1-hr,pphm,9,N/A,
8/13/2019 7:00:00 AM,Northwest Coastal L.A. County,1.9,1-hr,pphm,9,N/A,
8/13/2019 8:00:00 AM,Northwest Coastal L.A. County,2.6,1-hr,pphm,9,N/A,
8/13/2019 9:00:00 AM,Northwest Coastal L.A. County,3.7,1-hr,pphm,9,N/A,
8/13/2019 10:00:00 AM,Northwest Coastal L.A. County,4.6,1-hr,pphm,9,N/A,
8/13/2019 11:00:00 AM,Northwest Coastal L.A. County,5.1,1-hr,pphm,9,N/A,
8/13/2019 12:00:00 PM,Northwest Coastal L.A. County,5.5,1-hr,pphm,9,N/A,
8/13/2019 1:00:00 PM,Northwest Coastal L.A. County,5.7,1-hr,pphm,9,N/A,
8/13/2019 2:00:00 PM,Northwest Coastal L.A. County,4.7,1-hr,pphm,9,N/A,
8/13/2019 3:00:00 PM,Northwest Coastal L.A. County,4.4,1-hr,pphm,9,N/A,
8/13/2019 4:00:00 PM,Northwest Coastal L.A. County,4.5,1-hr,pphm,9,N/A,
8/13/2019 5:00:00 PM,Northwest Coastal L.A. County,4,1-hr,pphm,9,N/A,
8/13/2019 6:00:00 PM,Northwest Coastal L.A. County,3.7,1-hr,pphm,9,N/A,
8/13/2019 7:00:00 PM,Northwest Coastal L.A. County,3.3,1-hr,pphm,9,N/A,
8/13/2019 8:00:00 PM,Northwest Coastal L.A. County,3.1,1-hr,pphm,9,N/A,
8/13/2019 9:00:00 PM,Northwest Coastal L.A. County,2.9,1-hr,pphm,9,N/A,
8/13/2019 10:00:00 PM,Northwest Coastal L.A. County,3.1,1-hr,pphm,9,N/A,
8/13/2019 11:00:00 PM,Northwest Coastal L.A. County,3,1-hr,pphm,9,N/A,
8/14/2019 12:00:00 AM,Northwest Coastal L.A. County,2.9,1-hr,pphm,9,N/A,
8/14/2019 1:00:00 AM,Northwest Coastal L.A. County,3.1,1-hr,pphm,9,N/A,
8/14/2019 2:00:00 AM,Northwest Coastal L.A. County,3.1,1-hr,pphm,9,N/A,
8/14/2019 3:00:00 AM,Northwest Coastal L.A. County,2.9,1-hr,pphm,9,N/A,
8/14/2019 4:00:00 AM,Northwest Coastal L.A. County,2.2,1-hr,pphm,9,N/A,
8/14/2019 5:00:00 AM,Northwest Coastal L.A. County,2.2,1-hr,pphm,9,N/A,
8/14/2019 6:00:00 AM,Northwest Coastal L.A. County,2.4,1-hr,pphm,9,N/A,
8/14/2019 7:00:00 AM,Northwest Coastal L.A. County,2.8,1-hr,pphm,9,N/A,
8/14/2019 8:00:00 AM,Northwest Coastal L.A. County,3.5,1-hr,pphm,9,N/A,
8/14/2019 9:00:00 AM,Northwest Coastal L.A. County,4.3,1-hr,pphm,9,N/A,
8/14/2019 10:00:00 AM,Northwest Coastal L.A. County,5.1,1-hr,pphm,9,N/A,
8/14/2019 11:00:00 AM,Northwest Coastal L.A. County,5.6,1-hr,pphm,9,N/A,
8/14/2019 12:00:00 PM,Northwest Coastal L.A. County,5.6,1-hr,pphm,9,N/A,
8/14/2019 1:00:00 PM,Northwest Coastal L.A. County,6,1-hr,pphm,9,N/A,
8/14/2019 2:00:00 PM,Northwest Coastal L.A. County,5.3,1-hr,pphm,9,N/A,
8/14/2019 3:00:00 PM,Northwest Coastal L.A. County,4.7,1-hr,pphm,9,N/A,
8/14/2019 4:00:00 PM,Northwest Coastal L.A. County,4.3,1-hr,pphm,9,N/A,
8/14/2019 5:00:00 PM,Northwest Coastal L.A. County,4.6,1-hr,pphm,9,N/A,
8/14/2019 6:00:00 PM,Northwest Coastal L.A. County,5.1,1-hr,pphm,9,N/A,
8/14/2019 7:00:00 PM,Northwest Coastal L.A. County,4.9,1-hr,pphm,9,N/A,
8/14/2019 8:00:00 PM,Northwest Coastal L.A. County,4.8,1-hr,pphm,9,N/A,
8/14/2019 9:00:00 PM,Northwest Coastal L.A. County,4.6,1-hr,pphm,9,N/A,
8/14/2019 10:00:00 PM,Northwest Coastal L.A. County,4.5,1-hr,pphm,9,N/A,
8/14/2019 11:00:00 PM,Northwest Coastal L.A. County,4.4,1-hr,pphm,9,N/A,
8/15/2019 12:00:00 AM,Northwest Coastal L.A. County,4.1,1-hr,pphm,9,N/A,
8/15/2019 1:00:00 AM,Northwest Coastal L.A. County,3.8,1-hr,pphm,9,N/A,
8/15/2019 2:00:00 AM,Northwest Coastal L.A. County,3.4,1-hr,pphm,9,N/A,
8/15/2019 3:00:00 AM,Northwest Coastal L.A. County,3.2,1-hr,pphm,9,N/A,
8/15/2019 4:00:00 AM,Northwest Coastal L.A. County,2.3,1-hr,pphm,9,N/A,
8/15/2019 5:00:00 AM,Northwest Coastal L.A. County,2.6,1-hr,pphm,9,N/A,
8/15/2019 6:00:00 AM,Northwest Coastal L.A. County,2.2,1-hr,pphm,9,N/A,
8/15/2019 7:00:00 AM,Northwest Coastal L.A. County,2.2,1-hr,pphm,9,N/A,
8/15/2019 8:00:00 AM,Northwest Coastal L.A. County,2.6,1-hr,pphm,9,N/A,
8/15/2019 9:00:00 AM,Northwest Coastal L.A. County,3.7,1-hr,pphm,9,N/A,
8/15/2019 10:00:00 AM,Northwest Coastal L.A. County,4.8,1-hr,pphm,9,N/A,
8/15/2019 11:00:00 AM,Northwest Coastal L.A. County,5.5,1-hr,pphm,9,N/A,
8/15/2019 12:00:00 PM,Northwest Coastal L.A. County,5.8,1-hr,pphm,9,N/A,
8/15/2019 1:00:00 PM,Northwest Coastal L.A. County,6.1,1-hr,pphm,9,N/A,
8/15/2019 2:00:00 PM,Northwest Coastal L.A. County,6.1,1-hr,pphm,9,N/A,
8/15/2019 3:00:00 PM,Northwest Coastal L.A. County,5,1-hr,pphm,9,N/A,
8/15/2019 4:00:00 PM,Northwest Coastal L.A. County,4.3,1-hr,pphm,9,N/A,
8/15/2019 5:00:00 PM,Northwest Coastal L.A. County,3.6,1-hr,pphm,9,N/A,
8/15/2019 6:00:00 PM,Northwest Coastal L.A. County,3.3,1-hr,pphm,9,N/A,
8/15/2019 7:00:00 PM,Northwest Coastal L.A. County,3.4,1-hr,pphm,9,N/A,
8/15/2019 8:00:00 PM,Northwest Coastal L.A. County,3.6,1-hr,pphm,9,N/A,
8/15/2019 9:00:00 PM,Northwest Coastal L.A. County,3.4,1-hr,pphm,9,N/A,
8/15/2019 10:00:00 PM,Northwest Coastal L.A. County,3.6,1-hr,pphm,9,N/A,
8/15/2019 11:00:00 PM,Northwest Coastal L.A. County,3.7,1-hr,pphm,9,N/A,
8/16/2019 12:00:00 AM,Northwest Coastal L.A. County,3.8,1-hr,pphm,9,N/A,
8/16/2019 1:00:00 AM,Northwest Coastal L.A. County,3.7,1-hr,pphm,9,N/A,
8/16/2019 2:00:00 AM,Northwest Coastal L.A. County,3.1,1-hr,pphm,9,N/A,
8/16/2019 3:00:00 AM,Northwest Coastal L.A. County,2.9,1-hr,pphm,9,N/A,
8/16/2019 4:00:00 AM,Northwest Coastal L.A. County,2.3,1-hr,pphm,9,N/A,
8/16/2019 5:00:00 AM,Northwest Coastal L.A. County,2.1,1-hr,pphm,9,N/A,
8/16/2019 6:00:00 AM,Northwest Coastal L.A. County,2.2,1-hr,pphm,9,N/A,
8/16/2019 7:00:00 AM,Northwest Coastal L.A. County,2.1,1-hr,pphm,9,N/A,
8/16/2019 8:00:00 AM,Northwest Coastal L.A. County,2.6,1-hr,pphm,9,N/A,
8/16/2019 9:00:00 AM,Northwest Coastal L.A. County,3.2,1-hr,pphm,9,N/A,
8/16/2019 10:00:00 AM,Northwest Coastal L.A. County,3.8,1-hr,pphm,9,N/A,
8/16/2019 11:00:00 AM,Northwest Coastal L.A. County,4.5,1-hr,pphm,9,N/A,
8/16/2019 12:00:00 PM,Northwest Coastal L.A. County,5.4,1-hr,pphm,9,N/A,
8/16/2019 1:00:00 PM,Northwest Coastal L.A. County,5.2,1-hr,pphm,9,N/A,
8/16/2019 2:00:00 PM,Northwest Coastal L.A. County,4.9,1-hr,pphm,9,N/A,
8/16/2019 3:00:00 PM,Northwest Coastal L.A. County,4.4,1-hr,pphm,9,N/A,
8/16/2019 4:00:00 PM,Northwest Coastal L.A. County,3.6,1-hr,pphm,9,N/A,
8/16/2019 5:00:00 PM,Northwest Coastal L.A. County,3.6,1-hr,pphm,9,N/A,
8/16/2019 6:00:00 PM,Northwest Coastal L.A. County,3.7,1-hr,pphm,9,N/A,
8/16/2019 7:00:00 PM,Northwest Coastal L.A. County,3.8,1-hr,pphm,9,N/A,
8/16/2019 8:00:00 PM,Northwest Coastal L.A. County,3.8,1-hr,pphm,9,N/A,
8/16/2019 9:00:00 PM,Northwest Coastal L.A. County,3.7,1-hr,pphm,9,N/A,
8/16/2019 10:00:00 PM,Northwest Coastal L.A. County,3.6,1-hr,pphm,9,N/A,
8/16/2019 11:00:00 PM,Northwest Coastal L.A. County,2.9,1-hr,pphm,9,N/A,
8/17/2019 12:00:00 AM,Northwest Coastal L.A. County,2.5,1-hr,pphm,9,N/A,
8/17/2019 1:00:00 AM,Northwest Coastal L.A. County,2.4,1-hr,pphm,9,N/A,
8/17/2019 2:00:00 AM,Northwest Coastal L.A. County,2.6,1-hr,pphm,9,N/A,
8/17/2019 3:00:00 AM,Northwest Coastal L.A. County,3.1,1-hr,pphm,9,N/A,
8/17/2019 4:00:00 AM,Northwest Coastal L.A. County,3.2,1-hr,pphm,9,N/A,
8/17/2019 5:00:00 AM,Northwest Coastal L.A. County,3.2,1-hr,pphm,9,N/A,
8/17/2019 6:00:00 AM,Northwest Coastal L.A. County,3.2,1-hr,pphm,9,N/A,
8/17/2019 7:00:00 AM,Northwest Coastal L.A. County,3.4,1-hr,pphm,9,N/A,
8/17/2019 8:00:00 AM,Northwest Coastal L.A. County,3.6,1-hr,pphm,9,N/A,
8/17/2019 9:00:00 AM,Northwest Coastal L.A. County,3.9,1-hr,pphm,9,N/A,
8/17/2019 11:00:00 AM,Northwest Coastal L.A. County,4.5,1-hr,pphm,9,N/A,
8/17/2019 12:00:00 PM,Northwest Coastal L.A. County,4.7,1-hr,pphm,9,N/A,
8/17/2019 1:00:00 PM,Northwest Coastal L.A. County,4.5,1-hr,pphm,9,N/A,
8/17/2019 2:00:00 PM,Northwest Coastal L.A. County,4,1-hr,pphm,9,N/A,
8/17/2019 3:00:00 PM,Northwest Coastal L.A. County,3.8,1-hr,pphm,9,N/A,
8/17/2019 4:00:00 PM,Northwest Coastal L.A. County,4.1,1-hr,pphm,9,N/A,
8/17/2019 5:00:00 PM,Northwest Coastal L.A. County,4,1-hr,pphm,9,N/A,
8/17/2019 6:00:00 PM,Northwest Coastal L.A. County,4,1-hr,pphm,9,N/A,
8/17/2019 7:00:00 PM,Northwest Coastal L.A. County,3.9,1-hr,pphm,9,N/A,
8/17/2019 8:00:00 PM,Northwest Coastal L.A. County,3.9,1-hr,pphm,9,N/A,
8/17/2019 9:00:00 PM,Northwest Coastal L.A. County,3.8,1-hr,pphm,9,N/A,
8/17/2019 10:00:00 PM,Northwest Coastal L.A. County,3.6,1-hr,pphm,9,N/A,
8/17/2019 11:00:00 PM,Northwest Coastal L.A. County,3.4,1-hr,pphm,9,N/A,
8/18/2019 12:00:00 AM,Northwest Coastal L.A. County,3.3,1-hr,pphm,9,N/A,
8/18/2019 1:00:00 AM,Northwest Coastal L.A. County,3,1-hr,pphm,9,N/A,
8/18/2019 2:00:00 AM,Northwest Coastal L.A. County,2.7,1-hr,pphm,9,N/A,
8/18/2019 3:00:00 AM,Northwest Coastal L.A. County,2.9,1-hr,pphm,9,N/A,
8/18/2019 4:00:00 AM,Northwest Coastal L.A. County,3.2,1-hr,pphm,9,N/A,
8/18/2019 5:00:00 AM,Northwest Coastal L.A. County,3.4,1-hr,pphm,9,N/A,
8/18/2019 6:00:00 AM,Northwest Coastal L.A. County,3.3,1-hr,pphm,9,N/A,
8/18/2019 7:00:00 AM,Northwest Coastal L.A. County,3,1-hr,pphm,9,N/A,
8/18/2019 8:00:00 AM,Northwest Coastal L.A. County,2.9,1-hr,pphm,9,N/A,
8/18/2019 9:00:00 AM,Northwest Coastal L.A. County,3.1,1-hr,pphm,9,N/A,
8/18/2019 10:00:00 AM,Northwest Coastal L.A. County,3.6,1-hr,pphm,9,N/A,
8/18/2019 11:00:00 AM,Northwest Coastal L.A. County,3.9,1-hr,pphm,9,N/A,
8/18/2019 12:00:00 PM,Northwest Coastal L.A. County,4.1,1-hr,pphm,9,N/A,
8/18/2019 1:00:00 PM,Northwest Coastal L.A. County,3.9,1-hr,pphm,9,N/A,
8/18/2019 2:00:00 PM,Northwest Coastal L.A. County,3.8,1-hr,pphm,9,N/A,
8/18/2019 3:00:00 PM,Northwest Coastal L.A. County,3.8,1-hr,pphm,9,N/A,
8/18/2019 4:00:00 PM,Northwest Coastal L.A. County,4.3,1-hr,pphm,9,N/A,
8/18/2019 5:00:00 PM,Northwest Coastal L.A. County,4.4,1-hr,pphm,9,N/A,
8/18/2019 6:00:00 PM,Northwest Coastal L.A. County,4,1-hr,pphm,9,N/A,
8/18/2019 7:00:00 PM,Northwest Coastal L.A. County,3.8,1-hr,pphm,9,N/A,
8/18/2019 8:00:00 PM,Northwest Coastal L.A. County,3.4,1-hr,pphm,9,N/A,
8/18/2019 9:00:00 PM,Northwest Coastal L.A. County,3.2,1-hr,pphm,9,N/A,
8/18/2019 10:00:00 PM,Northwest Coastal L.A. County,2.8,1-hr,pphm,9,N/A,
8/18/2019 11:00:00 PM,Northwest Coastal L.A. County,2.9,1-hr,pphm,9,N/A,
8/19/2019 12:00:00 AM,Northwest Coastal L.A. County,3.4,1-hr,pphm,9,N/A,
8/19/2019 1:00:00 AM,Northwest Coastal L.A. County,3.7,1-hr,pphm,9,N/A,
8/19/2019 2:00:00 AM,Northwest Coastal L.A. County,3,1-hr,pphm,9,N/A,
8/19/2019 3:00:00 AM,Northwest Coastal L.A. County,3.1,1-hr,pphm,9,N/A,
8/19/2019 4:00:00 AM,Northwest Coastal L.A. County,3.2,1-hr,pphm,9,N/A,
8/19/2019 5:00:00 AM,Northwest Coastal L.A. County,3.1,1-hr,pphm,9,N/A,
8/19/2019 6:00:00 AM,Northwest Coastal L.A. County,2.8,1-hr,pphm,9,N/A,
8/19/2019 7:00:00 AM,Northwest Coastal L.A. County,2.8,1-hr,pphm,9,N/A,
8/19/2019 8:00:00 AM,Northwest Coastal L.A. County,2.7,1-hr,pphm,9,N/A,
8/19/2019 9:00:00 AM,Northwest Coastal L.A. County,3.2,1-hr,pphm,9,N/A,
8/19/2019 10:00:00 AM,Northwest Coastal L.A. County,4,1-hr,pphm,9,N/A,
8/19/2019 11:00:00 AM,Northwest Coastal L.A. County,4.4,1-hr,pphm,9,N/A,
8/19/2019 12:00:00 PM,Northwest Coastal L.A. County,5.6,1-hr,pphm,9,N/A,
8/19/2019 1:00:00 PM,Northwest Coastal L.A. County,5,1-hr,pphm,9,N/A,
8/19/2019 2:00:00 PM,Northwest Coastal L.A. County,4.4,1-hr,pphm,9,N/A,
8/19/2019 3:00:00 PM,Northwest Coastal L.A. County,4.2,1-hr,pphm,9,N/A,
8/19/2019 4:00:00 PM,Northwest Coastal L.A. County,4.2,1-hr,pphm,9,N/A,
8/19/2019 5:00:00 PM,Northwest Coastal L.A. County,3.9,1-hr,pphm,9,N/A,
8/19/2019 6:00:00 PM,Northwest Coastal L.A. County,3.4,1-hr,pphm,9,N/A,
8/19/2019 7:00:00 PM,Northwest Coastal L.A. County,3.1,1-hr,pphm,9,N/A,
8/19/2019 8:00:00 PM,Northwest Coastal L.A. County,3,1-hr,pphm,9,N/A,
8/19/2019 9:00:00 PM,Northwest Coastal L.A. County,2.9,1-hr,pphm,9,N/A,
8/19/2019 10:00:00 PM,Northwest Coastal L.A. County,2.8,1-hr,pphm,9,N/A,
8/19/2019 11:00:00 PM,Northwest Coastal L.A. County,2.4,1-hr,pphm,9,N/A,
8/20/2019 12:00:00 AM,Northwest Coastal L.A. County,1.7,1-hr,pphm,9,N/A,
8/20/2019 1:00:00 AM,Northwest Coastal L.A. County,1,1-hr,pphm,9,N/A,
8/20/2019 2:00:00 AM,Northwest Coastal L.A. County,0.4,1-hr,pphm,9,N/A,
8/20/2019 3:00:00 AM,Northwest Coastal L.A. County,0.5,1-hr,pphm,9,N/A,
8/20/2019 4:00:00 AM,Northwest Coastal L.A. County,0.3,1-hr,pphm,9,N/A,
8/20/2019 5:00:00 AM,Northwest Coastal L.A. County,0.3,1-hr,pphm,9,N/A,
8/20/2019 6:00:00 AM,Northwest Coastal L.A. County,0.8,1-hr,pphm,9,N/A,
8/20/2019 7:00:00 AM,Northwest Coastal L.A. County,2.1,1-hr,pphm,9,N/A,
8/20/2019 8:00:00 AM,Northwest Coastal L.A. County,2.9,1-hr,pphm,9,N/A,
8/20/2019 9:00:00 AM,Northwest Coastal L.A. County,3.1,1-hr,pphm,9,N/A,
8/20/2019 10:00:00 AM,Northwest Coastal L.A. County,3.9,1-hr,pphm,9,N/A,
8/20/2019 11:00:00 AM,Northwest Coastal L.A. County,4.6,1-hr,pphm,9,N/A,
8/20/2019 12:00:00 PM,Northwest Coastal L.A. County,5.4,1-hr,pphm,9,N/A,
8/20/2019 1:00:00 PM,Northwest Coastal L.A. County,5.7,1-hr,pphm,9,N/A,
8/20/2019 2:00:00 PM,Northwest Coastal L.A. County,4.9,1-hr,pphm,9,N/A,
8/20/2019 3:00:00 PM,Northwest Coastal L.A. County,3.9,1-hr,pphm,9,N/A,
8/20/2019 4:00:00 PM,Northwest Coastal L.A. County,3.6,1-hr,pphm,9,N/A,
8/20/2019 5:00:00 PM,Northwest Coastal L.A. County,3.5,1-hr,pphm,9,N/A,
8/20/2019 6:00:00 PM,Northwest Coastal L.A. County,3.2,1-hr,pphm,9,N/A,
8/20/2019 7:00:00 PM,Northwest Coastal L.A. County,2.7,1-hr,pphm,9,N/A,
8/20/2019 8:00:00 PM,Northwest Coastal L.A. County,2.2,1-hr,pphm,9,N/A,
8/20/2019 9:00:00 PM,Northwest Coastal L.A. County,2.4,1-hr,pphm,9,N/A,
8/20/2019 10:00:00 PM,Northwest Coastal L.A. County,2.1,1-hr,pphm,9,N/A,
8/20/2019 11:00:00 PM,Northwest Coastal L.A. County,1.7,1-hr,pphm,9,N/A,
8/21/2019 12:00:00 AM,Northwest Coastal L.A. County,0.7,1-hr,pphm,9,N/A,
8/21/2019 1:00:00 AM,Northwest Coastal L.A. County,0.5,1-hr,pphm,9,N/A,
8/21/2019 2:00:00 AM,Northwest Coastal L.A. County,0.4,1-hr,pphm,9,N/A,
8/21/2019 3:00:00 AM,Northwest Coastal L.A. County,0.3,1-hr,pphm,9,N/A,
8/21/2019 4:00:00 AM,Northwest Coastal L.A. County,0.3,1-hr,pphm,9,N/A,
8/21/2019 5:00:00 AM,Northwest Coastal L.A. County,0.3,1-hr,pphm,9,N/A,
8/21/2019 6:00:00 AM,Northwest Coastal L.A. County,0.6,1-hr,pphm,9,N/A,
8/21/2019 7:00:00 AM,Northwest Coastal L.A. County,1.7,1-hr,pphm,9,N/A,
8/21/2019 8:00:00 AM,Northwest Coastal L.A. County,2.5,1-hr,pphm,9,N/A,
8/21/2019 9:00:00 AM,Northwest Coastal L.A. County,3.3,1-hr,pphm,9,N/A,
8/21/2019 10:00:00 AM,Northwest Coastal L.A. County,3.8,1-hr,pphm,9,N/A,
8/21/2019 11:00:00 AM,Northwest Coastal L.A. County,4.7,1-hr,pphm,9,N/A,
8/21/2019 12:00:00 PM,Northwest Coastal L.A. County,5.7,1-hr,pphm,9,N/A,
8/21/2019 1:00:00 PM,Northwest Coastal L.A. County,5.1,1-hr,pphm,9,N/A,
8/21/2019 2:00:00 PM,Northwest Coastal L.A. County,5.7,1-hr,pphm,9,N/A,
8/21/2019 3:00:00 PM,Northwest Coastal L.A. County,6,1-hr,pphm,9,N/A,
8/21/2019 4:00:00 PM,Northwest Coastal L.A. County,5.8,1-hr,pphm,9,N/A,
8/21/2019 5:00:00 PM,Northwest Coastal L.A. County,4.7,1-hr,pphm,9,N/A,
8/21/2019 6:00:00 PM,Northwest Coastal L.A. County,4.1,1-hr,pphm,9,N/A,
8/21/2019 7:00:00 PM,Northwest Coastal L.A. County,3.1,1-hr,pphm,9,N/A,
8/21/2019 8:00:00 PM,Northwest Coastal L.A. County,2.7,1-hr,pphm,9,N/A,
8/21/2019 9:00:00 PM,Northwest Coastal L.A. County,3,1-hr,pphm,9,N/A,
8/21/2019 10:00:00 PM,Northwest Coastal L.A. County,2.7,1-hr,pphm,9,N/A,
8/21/2019 11:00:00 PM,Northwest Coastal L.A. County,1.3,1-hr,pphm,9,N/A,
8/22/2019 12:00:00 AM,Northwest Coastal L.A. County,0.4,1-hr,pphm,9,N/A,
8/22/2019 1:00:00 AM,Northwest Coastal L.A. County,0.6,1-hr,pphm,9,N/A,
8/22/2019 2:00:00 AM,Northwest Coastal L.A. County,0.4,1-hr,pphm,9,N/A,
8/22/2019 3:00:00 AM,Northwest Coastal L.A. County,0.3,1-hr,pphm,9,N/A,
8/22/2019 4:00:00 AM,Northwest Coastal L.A. County,0.3,1-hr,pphm,9,N/A,
8/22/2019 5:00:00 AM,Northwest Coastal L.A. County,0.6,1-hr,pphm,9,N/A,
8/22/2019 6:00:00 AM,Northwest Coastal L.A. County,1.2,1-hr,pphm,9,N/A,
8/22/2019 7:00:00 AM,Northwest Coastal L.A. County,1.8,1-hr,pphm,9,N/A,
8/22/2019 8:00:00 AM,Northwest Coastal L.A. County,3.1,1-hr,pphm,9,N/A,
8/22/2019 9:00:00 AM,Northwest Coastal L.A. County,4,1-hr,pphm,9,N/A,
8/22/2019 10:00:00 AM,Northwest Coastal L.A. County,4.7,1-hr,pphm,9,N/A,
8/22/2019 11:00:00 AM,Northwest Coastal L.A. County,5.1,1-hr,pphm,9,N/A,
8/22/2019 12:00:00 PM,Northwest Coastal L.A. County,4.7,1-hr,pphm,9,N/A,
8/22/2019 1:00:00 PM,Northwest Coastal L.A. County,4.8,1-hr,pphm,9,N/A,
8/22/2019 2:00:00 PM,Northwest Coastal L.A. County,4.6,1-hr,pphm,9,N/A,
8/22/2019 3:00:00 PM,Northwest Coastal L.A. County,4.6,1-hr,pphm,9,N/A,
8/22/2019 4:00:00 PM,Northwest Coastal L.A. County,4.5,1-hr,pphm,9,N/A,
8/22/2019 5:00:00 PM,Northwest Coastal L.A. County,4.5,1-hr,pphm,9,N/A,
8/22/2019 6:00:00 PM,Northwest Coastal L.A. County,4.7,1-hr,pphm,9,N/A,
8/22/2019 7:00:00 PM,Northwest Coastal L.A. County,4.5,1-hr,pphm,9,N/A,
8/22/2019 8:00:00 PM,Northwest Coastal L.A. County,4.5,1-hr,pphm,9,N/A,
8/22/2019 9:00:00 PM,Northwest Coastal L.A. County,4.4,1-hr,pphm,9,N/A,
8/22/2019 10:00:00 PM,Northwest Coastal L.A. County,3.3,1-hr,pphm,9,N/A,
8/22/2019 11:00:00 PM,Northwest Coastal L.A. County,1.7,1-hr,pphm,9,N/A,
8/23/2019 12:00:00 AM,Northwest Coastal L.A. County,2.1,1-hr,pphm,9,N/A,
8/23/2019 1:00:00 AM,Northwest Coastal L.A. County,2.9,1-hr,pphm,9,N/A,
8/23/2019 2:00:00 AM,Northwest Coastal L.A. County,3,1-hr,pphm,9,N/A,
8/23/2019 3:00:00 AM,Northwest Coastal L.A. County,3,1-hr,pphm,9,N/A,
8/23/2019 4:00:00 AM,Northwest Coastal L.A. County,3.2,1-hr,pphm,9,N/A,
8/23/2019 5:00:00 AM,Northwest Coastal L.A. County,3.3,1-hr,pphm,9,N/A,
8/23/2019 6:00:00 AM,Northwest Coastal L.A. County,3.4,1-hr,pphm,9,N/A,
8/23/2019 7:00:00 AM,Northwest Coastal L.A. County,3.3,1-hr,pphm,9,N/A,
8/23/2019 11:00:00 AM,Northwest Coastal L.A. County,4.9,1-hr,pphm,9,N/A,
8/23/2019 12:00:00 PM,Northwest Coastal L.A. County,5.2,1-hr,pphm,9,N/A,
8/23/2019 1:00:00 PM,Northwest Coastal L.A. County,5.1,1-hr,pphm,9,N/A,
8/23/2019 2:00:00 PM,Northwest Coastal L.A. County,4.8,1-hr,pphm,9,N/A,
8/23/2019 3:00:00 PM,Northwest Coastal L.A. County,4.9,1-hr,pphm,9,N/A,
8/23/2019 4:00:00 PM,Northwest Coastal L.A. County,4.7,1-hr,pphm,9,N/A,
8/23/2019 5:00:00 PM,Northwest Coastal L.A. County,4.3,1-hr,pphm,9,N/A,
8/23/2019 6:00:00 PM,Northwest Coastal L.A. County,4.2,1-hr,pphm,9,N/A,
8/23/2019 7:00:00 PM,Northwest Coastal L.A. County,4.2,1-hr,pphm,9,N/A,
8/23/2019 8:00:00 PM,Northwest Coastal L.A. County,4.1,1-hr,pphm,9,N/A,
8/23/2019 9:00:00 PM,Northwest Coastal L.A. County,4,1-hr,pphm,9,N/A,
8/23/2019 10:00:00 PM,Northwest Coastal L.A. County,3.6,1-hr,pphm,9,N/A,
8/23/2019 11:00:00 PM,Northwest Coastal L.A. County,2.8,1-hr,pphm,9,N/A,
8/24/2019 12:00:00 AM,Northwest Coastal L.A. County,1.1,1-hr,pphm,9,N/A,
8/24/2019 1:00:00 AM,Northwest Coastal L.A. County,1,1-hr,pphm,9,N/A,
8/24/2019 2:00:00 AM,Northwest Coastal L.A. County,0.7,1-hr,pphm,9,N/A,
8/24/2019 3:00:00 AM,Northwest Coastal L.A. County,0.8,1-hr,pphm,9,N/A,
8/24/2019 4:00:00 AM,Northwest Coastal L.A. County,0.4,1-hr,pphm,9,N/A,
8/24/2019 5:00:00 AM,Northwest Coastal L.A. County,0.3,1-hr,pphm,9,N/A,
8/24/2019 6:00:00 AM,Northwest Coastal L.A. County,1.1,1-hr,pphm,9,N/A,
8/24/2019 7:00:00 AM,Northwest Coastal L.A. County,2.5,1-hr,pphm,9,N/A,
8/24/2019 8:00:00 AM,Northwest Coastal L.A. County,3.1,1-hr,pphm,9,N/A,
8/24/2019 9:00:00 AM,Northwest Coastal L.A. County,4,1-hr,pphm,9,N/A,
8/24/2019 10:00:00 AM,Northwest Coastal L.A. County,5.1,1-hr,pphm,9,N/A,
8/24/2019 11:00:00 AM,Northwest Coastal L.A. County,5.7,1-hr,pphm,9,N/A,
8/24/2019 12:00:00 PM,Northwest Coastal L.A. County,5.8,1-hr,pphm,9,N/A,
8/24/2019 1:00:00 PM,Northwest Coastal L.A. County,5.6,1-hr,pphm,9,N/A,
8/24/2019 2:00:00 PM,Northwest Coastal L.A. County,5.6,1-hr,pphm,9,N/A,
8/24/2019 3:00:00 PM,Northwest Coastal L.A. County,4.9,1-hr,pphm,9,N/A,
8/24/2019 4:00:00 PM,Northwest Coastal L.A. County,4.7,1-hr,pphm,9,N/A,
8/24/2019 5:00:00 PM,Northwest Coastal L.A. County,4.5,1-hr,pphm,9,N/A,
8/24/2019 6:00:00 PM,Northwest Coastal L.A. County,3.8,1-hr,pphm,9,N/A,
8/24/2019 7:00:00 PM,Northwest Coastal L.A. County,3.7,1-hr,pphm,9,N/A,
8/24/2019 8:00:00 PM,Northwest Coastal L.A. County,3.6,1-hr,pphm,9,N/A,
8/24/2019 9:00:00 PM,Northwest Coastal L.A. County,3.6,1-hr,pphm,9,N/A,
8/24/2019 10:00:00 PM,Northwest Coastal L.A. County,3.6,1-hr,pphm,9,N/A,
